Type,Sample_id,participant,TOTAL_READS,PF_READS,READ_LENGTH,TOTAL_BASES,PF_BASES,Q20_BASES,PF_Q20_BASES,Q30_BASES,PF_Q30_BASES,Q20_EQUIVALENT_YIELD,PF_Q20_EQUIVALENT_YIELD
Tumor,100_DM,11BR020,214780004,214780004,137,29525511437,29525511437,29276291481,29276291481,28729049806,28729049806,43755154395,43755154395
Normal,100_DN,11BR020,201972266,201972266,137,27709470651,27709470651,27470610354,27470610354,26948379346,26948379346,41054557180,41054557180
Tumor,101_DM,11BR022,184087888,184087888,136,25087738426,25087738426,24839964699,24839964699,24277332849,24277332849,37093349447,37093349447
Normal,101_DN,11BR022,221378874,221378874,138,30568366545,30568366545,30313820727,30313820727,29707980567,29707980567,45283444190,45283444190
Tumor,102_DM,11BR023,195699454,195699454,137,26941326289,26941326289,26681350066,26681350066,26096412597,26096412597,39848786099,39848786099
Normal,102_DN,11BR023,182502712,182502712,137,25115014255,25115014255,24878442571,24878442571,24313013055,24313013055,37144008971,37144008971
Tumor,103_DM,11BR024,218546960,218546960,134,29455161832,29455161832,29204202619,29204202619,28560694370,28560694370,43600829499,43600829499
Normal,103_DN,11BR024,234199578,234199578,135,31732269524,31732269524,31447695329,31447695329,30759800280,30759800280,46959264464,46959264464
Tumor,104_DM,11BR025,187828990,187828990,136,25600101248,25600101248,25276873879,25276873879,24581666962,24581666962,37716954870,37716954870
Normal,104_DN,11BR025,194608746,194608746,135,26419615922,26419615922,26180174282,26180174282,25597497154,25597497154,39089497592,39089497592
Tumor,105_DM,11BR031,218762768,218762768,138,30306443240,30306443240,29928926222,29928926222,29099538796,29099538796,44653490480,44653490480
Normal,105_DN,11BR031,182233260,182233260,137,25105356323,25105356323,24802960468,24802960468,24159391226,24159391226,37023770651,37023770651
Tumor,106_DM,11BR038,185688396,185688396,139,25855669459,25855669459,25617635589,25617635589,24997808052,24997808052,38226425461,38226425461
Normal,106_DN,11BR038,243810558,243810558,139,34130432605,34130432605,33796193919,33796193919,32987819728,32987819728,50445226532,50445226532
Tumor,111_DM,14BR005,195547404,195547404,137,26904779265,26904779265,26623204201,26623204201,25993307370,25993307370,39750903485,39750903485
Normal,111_DN,14BR005,206299522,206299522,136,28118504427,28118504427,27850134350,27850134350,27197506650,27197506650,41573202339,41573202339
Tumor,123_DM,03BR013,283963892,283963892,131,37434184662,37434184662,37174419290,37174419290,36466163051,36466163051,55528819499,55528819499
Normal,123_DN,03BR013,196830046,196830046,119,23569119265,23569119265,23468677132,23468677132,23073787651,23073787651,35052741622,35052741622
Tumor,124_DM,05BR029,185341190,185341190,132,24536910039,24536910039,24289963443,24289963443,23645061915,23645061915,36230606145,36230606145
Normal,124_DN,05BR029,275329250,275329250,132,36461250951,36461250951,36219193772,36219193772,35495316254,35495316254,54079124635,54079124635
Tumor,130_DM,09BR004,186734720,186734720,128,23936812588,23936812588,23734091371,23734091371,23276525039,23276525039,35468771552,35468771552
Normal,130_DN,09BR004,208415706,208415706,120,25090652660,25090652660,24912724037,24912724037,24532671215,24532671215,37262690757,37262690757
Tumor,131_DM,09BR007,241179446,241179446,136,33009114863,33009114863,32749174826,32749174826,32116141846,32116141846,48931287197,48931287197
Normal,131_DN,09BR007,253356946,253356946,136,34538457180,34538457180,34254168751,34254168751,33607515788,33607515788,51193768221,51193768221
Tumor,132_DM,11BR006,206339362,206339362,131,27057217574,27057217574,26814028955,26814028955,26284782253,26284782253,40072362623,40072362623
Normal,132_DN,11BR006,274922578,274922578,132,36530300552,36530300552,36209975429,36209975429,35476979721,35476979721,54099584796,54099584796
Tumor,133_DM,11BR010,234484162,234484162,138,32501986616,32501986616,32238092224,32238092224,31619720695,31619720695,48170200506,48170200506
Normal,133_DN,11BR010,173224060,173224060,133,23142450759,23142450759,22817435751,22817435751,21795966453,21795966453,33872971856,33872971856
Tumor,134_DM,11BR027,267244320,267244320,134,35939610793,35939610793,35693569732,35693569732,35123279331,35123279331,53369658486,53369658486
Normal,134_DN,11BR027,90782234,190782234,135,25767615889,25767615889,25576011934,25576011934,25152025661,25152025661,38239500595,38239500595
Tumor,135_DM,11BR028,220065760,220065760,135,29899740934,29899740934,29665262893,29665262893,29198256753,29198256753,44372660453,44372660453
Normal,135_DN,11BR028,176518772,176518772,127,22472601508,22472601508,22298223504,22298223504,21791651946,21791651946,33277862836,33277862836
Tumor,136_DM,11BR030,217682132,217682132,139,30277767890,30277767890,30029773302,30029773302,29387474864,29387474864,44841058534,44841058534
Normal,136_DN,11BR030,186268374,186268374,132,24592950314,24592950314,24338132888,24338132888,23607387005,23607387005,36262931744,36262931744
Tumor,137_DM,11BR032,268431596,268431596,136,36574441645,36574441645,36301393024,36301393024,35580600968,35580600968,54220680856,54220680856
Normal,137_DN,11BR032,184896932,184896932,135,25010440277,25010440277,24816110903,24816110903,24332868171,24332868171,37075246867,37075246867
Tumor,138_DM,11BR042,191336700,191336700,137,26228045723,26228045723,26035646264,26035646264,25511541201,25511541201,38882990873,38882990873
Normal,138_DN,11BR042,285592508,285592508,135,38805889505,38805889505,38518084766,38518084766,37760586747,37760586747,57535375950,57535375950
Tumor,139_DM,11BR043,205945684,205945684,135,27857649044,27857649044,27589983496,27589983496,26957476807,26957476807,41195105645,41195105645
Normal,139_DN,11BR043,194304184,194304184,133,25997736785,25997736785,25717144544,25717144544,24906579251,24906579251,38303890597,38303890597
Tumor,140_DM,11BR047,193044458,193044458,132,25596060408,25596060408,25351766153,25351766153,24796877705,24796877705,37866305011,37866305011
Normal,140_DN,11BR047,256276616,256276616,136,34966455763,34966455763,34626695719,34626695719,33754313724,33754313724,51662904416,51662904416
Tumor,141_DM,11BR051,256469514,256469514,134,34519935623,34519935623,34208446533,34208446533,33434193131,33434193131,51071311064,51071311064
Normal,141_DN,11BR051,202106812,202106812,126,25555689840,25555689840,25358323071,25358323071,24862611091,24862611091,37883560475,37883560475
Tumor,142_DM,11BR054,186972728,186972728,125,23461750385,23461750385,23256142839,23256142839,22815351273,22815351273,34761772691,34761772691
Normal,142_DN,11BR054,220620782,220620782,131,28930397426,28930397426,28725538437,28725538437,28115162333,28115162333,42880834622,42880834622
Tumor,143_DM,11BR055,219023616,219023616,130,28603239850,28603239850,28359396719,28359396719,27793598402,27793598402,42371096146,42371096146
Normal,143_DN,11BR055,255744760,255744760,135,34562689808,34562689808,34262733947,34262733947,33544190773,33544190773,51175587594,51175587594
Tumor,144_DM,11BR056,188329230,188329230,127,23947979125,23947979125,23706790883,23706790883,23176725813,23176725813,35410727605,35410727605
Normal,144_DN,11BR056,203801262,203801262,134,27447489048,27447489048,27176709526,27176709526,26403787750,26403787750,40506022546,40506022546
Tumor,145_DM,11BR058,262070114,262070114,135,35594889378,35594889378,35313297003,35313297003,34781387229,34781387229,52834177003,52834177003
Normal,145_DN,11BR058,179264248,179264248,130,23396600897,23396600897,23179322459,23179322459,22552824657,22552824657,34558825994,34558825994
Tumor,146_DM,11BR059,185319952,185319952,132,24534147184,24534147184,24289029967,24289029967,23652016607,23652016607,36231426020,36231426020
Normal,146_DN,11BR059,194839968,194839968,121,23596376101,23596376101,23431390978,23431390978,22959937327,22959937327,34989495980,34989495980
Tumor,147_DM,11BR060,242036950,242036950,134,32491143584,32491143584,32177579956,32177579956,31383954152,31383954152,48016683148,48016683148
Normal,147_DN,11BR060,186031058,186031058,135,25127027102,25127027102,24884497330,24884497330,24307741535,24307741535,37152936155,37152936155
